corr_thresh,base_bil,overlay_mods,sharpe,return,mdd,triple,guard_months
0.05,0.0,none,0.8952471826893086,0.08854742119518863,-0.10761393175029312,False,31
0.05,0.0,v5_mods,0.9329375563395553,0.09986388742198563,-0.11690000306397057,False,31
0.05,0.0,s7_aggressive,0.9092459796971811,0.09228940417161059,-0.1090298372288954,False,31
0.05,0.0,stop_tight,0.9808277206126647,0.09317229560265614,-0.10909177137099753,False,31
0.05,0.0,vol_low,0.8673129787996426,0.08295026373147604,-0.1078724324343542,False,31
0.05,0.0,s7+stop,1.037978308441142,0.10360908968961385,-0.09614475192433711,True,31
0.05,0.03,none,0.906004057387982,0.08771879969076352,-0.10590573964615195,False,31
0.05,0.03,v5_mods,0.935994923619362,0.09803853961638853,-0.10933321946910307,False,31
0.05,0.03,s7_aggressive,0.898932039158746,0.08971882306438128,-0.10669716727782591,False,31
0.05,0.03,stop_tight,0.9885854449619369,0.0922727396638048,-0.10774880177484061,False,31
0.05,0.03,vol_low,0.886283938883895,0.08322436124547059,-0.10598373432630862,False,31
0.05,0.03,s7+stop,1.0292417832562164,0.10089034475160497,-0.09326372138020762,True,31
0.05,0.05,none,0.931729611920401,0.089152615369107,-0.1034032442500131,False,31
0.05,0.05,v5_mods,0.9464693564037773,0.09734092971563407,-0.10839124463302129,False,31
0.05,0.05,s7_aggressive,0.9226967680457593,0.09040532602450288,-0.10630816236893004,False,31
0.05,0.05,stop_tight,1.0234205012241675,0.09393612662860595,-0.10352288251181722,False,31
0.05,0.05,vol_low,0.9166339914424029,0.08468467290339665,-0.103964562595161,False,31
0.05,0.05,s7+stop,1.054114595804456,0.1019558598549967,-0.09133973281884177,True,31
0.05,0.08,none,0.9156627397712968,0.08664158542219985,-0.10102850269903894,False,31
0.05,0.08,v5_mods,0.9787932919903088,0.09753190581647433,-0.10406256068680646,False,31
0.05,0.08,s7_aggressive,0.9162405155756456,0.08832131889748535,-0.10457099025529074,False,31
0.05,0.08,stop_tight,1.0365748084853275,0.0931911894966867,-0.10130137014130665,False,31
0.05,0.08,vol_low,0.9100203463296781,0.0830817669593176,-0.10151015276943542,False,31
0.05,0.08,s7+stop,1.0351658888950994,0.09877906561975078,-0.09090405079239723,False,31
0.05,0.1,none,0.9250652725931009,0.08622650636393467,-0.0977492819929323,False,31
0.05,0.1,v5_mods,0.9962936811206914,0.09733569652523877,-0.10133984630948821,False,31
0.05,0.1,s7_aggressive,0.9306526684200369,0.0882714736756197,-0.10134843834651767,False,31
0.05,0.1,stop_tight,1.0020178401892355,0.08954008805784287,-0.0998237081163219,False,31
0.05,0.1,vol_low,0.9219239798509624,0.08280955252257871,-0.09818932320344205,False,31
0.05,0.1,s7+stop,0.9986124316216783,0.09384692990857899,-0.09661328299925712,False,31
0.1,0.0,none,0.8444010187591143,0.0842277521706555,-0.13923596617352088,False,29
0.1,0.0,v5_mods,0.8660894015123322,0.09378375276286954,-0.1316986547611451,False,29
0.1,0.0,s7_aggressive,0.8400778104177772,0.08561778774742156,-0.14096035737566054,False,29
0.1,0.0,stop_tight,0.931682916143005,0.08931166693052947,-0.1361922492259846,False,29
0.1,0.0,vol_low,0.8133545392797366,0.07860703381482911,-0.13949214386548217,False,29
0.1,0.0,s7+stop,0.970595080051307,0.09785989406209875,-0.1242418953674953,False,29
0.1,0.03,none,0.8560504603176506,0.08361284941776385,-0.13648805543828113,False,29
0.1,0.03,v5_mods,0.8705807390364066,0.09226317391478112,-0.12808016283113327,False,29
0.1,0.03,s7_aggressive,0.8263719701749949,0.08274457216909638,-0.1380332828955375,False,29
0.1,0.03,stop_tight,0.9317621306114285,0.08794704501716286,-0.13441804788359757,False,29
0.1,0.03,vol_low,0.8352186201672998,0.07922846345177142,-0.13702016422906105,False,29
